Time,Jerk,Acceleration,Velocity,Position,J1,J2,J3,J4,J5,J6
0.0,0,0.0,0.0,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.001,1000,0.73,0.0,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.002,1000,1.63,0.0,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.003,1000,2.55,0.0,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.004,1000,3.7,0.01,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.005,1000,4.59,0.01,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.006,1000,5.74,0.02,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.007,1000,6.63,0.02,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.008,1000,7.76,0.03,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.009,1000,8.65,0.04,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.01,1000,9.55,0.05,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.011,1000,10.69,0.06,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.012,1000,11.59,0.07,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.013,1000,12.71,0.08,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.014,1000,13.62,0.09,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.015,1000,14.75,0.11,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.016,1000,15.64,0.12,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.017,1000,16.75,0.14,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.018,1000,17.64,0.16,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.019,1000,18.76,0.18,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.02,1000,19.68,0.19,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.021,1000,20.58,0.21,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.022,1000,21.73,0.24,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.023,1000,22.62,0.26,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.024,1000,23.77,0.28,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.025,1000,24.69,0.3,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.026,1000,25.8,0.33,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.027,1000,26.72,0.36,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.028,1000,27.61,0.38,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.029,1000,28.75,0.41,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.03,1000,29.63,0.44,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.031,1000,30.76,0.47,0.0,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.032,1000,31.67,0.5,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.033,1000,32.79,0.54,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.034,1000,33.7,0.57,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.035,1000,34.61,0.6,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.036,1000,35.74,0.64,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.037,1000,36.62,0.67,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.038,1000,37.77,0.71,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.039,1000,38.68,0.75,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.04,1000,39.8,0.79,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.041,1000,40.7,0.83,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.042,1000,41.82,0.87,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.043,1000,42.73,0.91,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.044,1000,43.62,0.95,0.01,-32.28,29.53,-53.57,-57.17,39.45,50.12
