Time,X_Kinematics,Y_Kinematics,Z_Kinematics,X_GUI,Y_GUI,Z_GUI
0.00,1820.00,0.00,2170.00,1820.00,0.00,2170.00
0.02,1820.00,0.00,2170.00,1820.00,0.00,2170.00
0.04,1819.99,0.01,2169.99,1820.00,0.01,2170.00
0.06,1819.93,0.15,2169.92,1819.94,0.12,2169.94
0.08,1819.50,1.03,2169.47,1819.64,0.75,2169.61
0.10,1818.94,2.20,2168.86,1819.15,1.75,2169.09
0.12,1818.05,4.02,2167.92,1818.33,3.45,2168.22
0.14,1816.42,7.36,2166.18,1816.42,7.36,2166.18
0.16,1813.98,12.29,2163.59,1814.58,11.09,2164.22
0.18,1811.18,17.87,2160.63,1814.58,11.09,2164.22
0.20,1808.20,23.72,2157.49,1809.26,21.65,2158.61
0.22,1805.05,29.83,2154.19,1806.13,27.74,2155.32
0.24,1801.56,36.47,2150.54,1802.54,34.61,2151.56
0.26,1797.60,43.87,2146.43,1802.54,34.61,2151.56
0.28,1793.32,51.71,2142.00,1794.75,49.10,2143.48
0.30,1788.30,60.73,2136.83,1794.75,49.10,2143.48
0.32,1785.66,65.37,2134.13,1786.74,63.48,2135.23
0.34,1781.23,73.07,2129.60,1786.74,63.48,2135.23
0.36,1777.15,80.02,2125.44,1778.55,77.65,2126.86
0.38,1773.03,86.92,2121.25,1774.44,84.57,2122.69
0.40,1768.97,93.60,2117.14,1770.19,91.60,2118.38
0.42,1764.67,100.56,2112.80,1770.19,91.60,2118.38
0.44,1760.22,107.62,2108.32,1761.67,105.33,2109.78
0.46,1756.04,114.14,2104.12,1757.40,112.03,2105.49
0.48,1751.73,120.77,2099.79,1752.99,118.83,2101.06
0.50,1747.27,127.50,2095.33,1752.99,118.83,2101.06
0.52,1742.77,134.17,2090.84,1744.27,131.95,2092.34
0.54,1738.34,140.62,2086.42,1739.75,138.59,2087.82
0.56,1731.69,150.13,2079.79,1733.33,147.80,2081.43
0.58,1727.28,156.29,2075.41,1728.72,154.30,2076.83
0.60,1722.84,162.41,2071.00,1724.07,160.73,2072.21
0.62,1717.93,169.07,2066.11,1724.07,160.73,2072.21
0.64,1713.31,175.22,2061.53,1714.89,173.12,2063.10
0.66,1708.66,181.31,2056.91,1710.25,179.24,2058.49
0.68,1704.20,187.06,2052.50,1705.57,185.29,2053.86
0.70,1699.37,193.18,2047.71,1705.57,185.29,2053.86
0.72,1694.51,199.26,2042.88,1696.02,197.38,2044.38
0.74,1689.73,205.12,2038.15,1691.25,203.27,2039.65
0.76,1685.04,210.79,2033.49,1686.45,209.09,2034.89
0.78,1680.32,216.40,2028.81,1681.62,214.87,2030.10
0.80,1675.21,222.38,2023.74,1681.62,214.87,2030.10
0.82,1670.44,227.88,2019.00,1671.87,226.24,2020.43
0.84,1665.63,233.33,2014.22,1667.07,231.70,2015.66
0.86,1660.68,238.85,2009.30,1662.01,237.38,2010.62
0.88,1655.21,244.86,2003.85,1662.01,237.38,2010.62
0.90,1650.32,250.13,1998.98,1652.03,248.29,2000.69
0.92,1645.53,255.22,1994.20,1647.01,253.66,1995.67
0.94,1640.47,260.52,1989.14,1641.95,258.98,1990.63
0.96,1635.12,266.02,1983.80,1641.95,258.98,1990.63
0.98,1629.88,271.32,1978.55,1631.76,269.43,1980.43
1.00,1624.99,276.19,1973.65,1626.63,274.58,1975.28
1.02,1619.96,281.14,1968.58,1621.47,279.66,1970.11
1.04,1614.51,286.39,1963.11,1621.47,279.66,1970.11
1.06,1609.43,291.22,1957.98,1611.21,289.54,1959.78
