Time,Jerk,Acceleration,Velocity,Position,J1,J2,J3,J4,J5,J6
0.000,0,0.000,0.000,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.001,1000,0.730,0.000,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.002,1000,1.630,0.000,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.003,1000,2.550,0.000,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.004,1000,3.700,0.010,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.005,1000,4.590,0.010,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.006,1000,5.740,0.020,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.007,1000,6.630,0.020,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.008,1000,7.760,0.030,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.009,1000,8.650,0.040,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.010,1000,9.550,0.050,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.011,1000,10.690,0.060,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.012,1000,11.590,0.070,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.013,1000,12.710,0.080,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.014,1000,13.620,0.090,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.015,1000,14.750,0.110,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.016,1000,15.640,0.120,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.017,1000,16.750,0.140,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.018,1000,17.640,0.160,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.019,1000,18.760,0.180,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.020,1000,19.680,0.190,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.021,1000,20.580,0.210,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.022,1000,21.730,0.240,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.023,1000,22.620,0.260,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.024,1000,23.770,0.280,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.025,1000,24.690,0.300,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.026,1000,25.800,0.330,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.027,1000,26.720,0.360,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.028,1000,27.610,0.380,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.029,1000,28.750,0.410,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.030,1000,29.630,0.440,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.031,1000,30.760,0.470,0.000,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.032,1000,31.670,0.500,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.033,1000,32.790,0.540,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.034,1000,33.700,0.570,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.035,1000,34.610,0.600,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.036,1000,35.740,0.640,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.037,1000,36.620,0.670,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.038,1000,37.770,0.710,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.039,1000,38.680,0.750,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.040,1000,39.800,0.790,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.041,1000,40.700,0.830,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.042,1000,41.820,0.870,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.043,1000,42.730,0.910,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.044,1000,43.620,0.950,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.045,1000,44.740,1.000,0.010,-32.28,29.53,-53.57,-57.17,39.45,50.12
0.046,1000,45.630,1.040,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.047,1000,46.750,1.090,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.048,1000,47.630,1.130,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.049,1000,48.760,1.190,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.050,1000,49.650,1.230,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.051,1000,50.780,1.290,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.052,1000,51.680,1.340,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.053,1000,52.800,1.390,0.020,-32.27,29.53,-53.57,-57.17,39.45,50.12
0.054,1000,53.700,1.440,0.030,-32.27,29.53,-53.58,-57.17,39.45,50.12
0.055,1000,54.800,1.500,0.030,-32.27,29.53,-53.58,-57.17,39.45,50.12
0.056,1000,55.700,1.550,0.030,-32.27,29.53,-53.58,-57.17,39.45,50.12
